id,value
6001x,-0.3985821325702632
6001y,0.16557146256674588
6002x,-0.3985821325702632
6002y,0.16557146256674588
6003x,-0.3985821325702632
6003y,0.16557146256674588
6004x,-0.3985821325702632
6004y,0.16557146256674588
6005x,-0.30530130694639279
6005y,-0.5994967234623978
6006x,-0.3985821325702632
6006y,0.16557146256674588
6007x,-0.058819119748398263
6007y,-0.48984229230556731
6008x,-0.058819119748398263
6008y,-0.48984229230556731
6009x,-0.058819119748398263
6009y,-0.48984229230556731
6010x,-0.3985821325702632
6010y,0.16557146256674588
6011x,-0.19288692312604275
6011y,0.08945198127460835
6012x,-0.3985821325702632
6012y,0.16557146256674588
6013x,-0.3985821325702632
6013y,0.16557146256674588
6014x,-0.30530130694639279
6014y,-0.5994967234623978
6015x,-0.058819119748398263
6015y,-0.48984229230556731
6016x,-0.058819119748398263
6016y,-0.48984229230556731
6017x,-0.19288692312604275
6017y,0.08945198127460835
6018x,-0.30530130694639279
6018y,-0.5994967234623978
6019x,-0.19288692312604275
6019y,0.08945198127460835
6020x,-0.058819119748398263
6020y,-0.48984229230556731
6021x,-0.30530130694639279
6021y,-0.5994967234623978
6022x,0.017733565619257624
6022y,-0.29178809186018945
6023x,-0.3985821325702632
6023y,0.16557146256674588
6024x,-0.040586169414456169
6024y,-0.081731920627446802
6025x,0.017733565619257624
6025y,-0.29178809186018945
6026x,-0.30530130694639279
6026y,-0.5994967234623978
6027x,-0.3985821325702632
6027y,0.16557146256674588
6028x,0.017733565619257624
6028y,-0.29178809186018945
6029x,-0.3985821325702632
6029y,0.16557146256674588
6030x,-0.30530130694639279
6030y,-0.5994967234623978
6031x,-0.058819119748398263
6031y,-0.48984229230556731
6032x,-0.30530130694639279
6032y,-0.5994967234623978
6033x,-0.3985821325702632
6033y,0.16557146256674588
6034x,-0.3985821325702632
6034y,0.16557146256674588
6035x,-0.30530130694639279
6035y,-0.5994967234623978
6036x,-0.19288692312604275
6036y,0.08945198127460835
6037x,-0.30530130694639279
6037y,-0.5994967234623978
6038x,-0.30530130694639279
6038y,-0.5994967234623978
6039x,-0.30530130694639279
6039y,-0.5994967234623978
6040x,0.017733565619257624
6040y,-0.29178809186018945
6041x,-0.3985821325702632
6041y,0.16557146256674588
6042x,0.017733565619257624
6042y,-0.29178809186018945
6043x,-0.058819119748398263
6043y,-0.48984229230556731
6044x,-0.30530130694639279
6044y,-0.5994967234623978
6045x,-0.040586169414456169
6045y,-0.081731920627446802
6046x,-0.3985821325702632
6046y,0.16557146256674588
6047x,0.017733565619257624
6047y,-0.29178809186018945
6048x,-0.058819119748398263
6048y,-0.48984229230556731
6049x,-0.30530130694639279
6049y,-0.5994967234623978
6050x,-0.3985821325702632
6050y,0.16557146256674588
6051x,-0.3985821325702632
6051y,0.16557146256674588
6052x,-0.3985821325702632
6052y,0.16557146256674588
6053x,-0.30530130694639279
6053y,-0.5994967234623978
6054x,0.017733565619257624
6054y,-0.29178809186018945
6055x,-0.058819119748398263
6055y,-0.48984229230556731
6056x,-0.3985821325702632
6056y,0.16557146256674588
6057x,-0.30530130694639279
6057y,-0.5994967234623978
6058x,-0.040586169414456169
6058y,-0.081731920627446802
6059x,-0.3985821325702632
6059y,0.16557146256674588
6060x,0.017733565619257624
6060y,-0.29178809186018945
6061x,0.017733565619257624
6061y,-0.29178809186018945
6062x,-0.19288692312604275
6062y,0.08945198127460835
6063x,-0.3985821325702632
6063y,0.16557146256674588
6064x,-0.19288692312604275
6064y,0.08945198127460835
6065x,-0.058819119748398263
6065y,-0.48984229230556731
6066x,-0.30530130694639279
6066y,-0.5994967234623978
6067x,-0.30530130694639279
6067y,-0.5994967234623978
6068x,-0.3985821325702632
6068y,0.16557146256674588
6069x,-0.30530130694639279
6069y,-0.5994967234623978
6070x,-0.3985821325702632
6070y,0.16557146256674588
6071x,-0.30530130694639279
6071y,-0.5994967234623978
6072x,-0.30530130694639279
6072y,-0.5994967234623978
6073x,-0.19288692312604275
6073y,0.08945198127460835
6074x,-0.30530130694639279
6074y,-0.5994967234623978
6075x,-0.30530130694639279
6075y,-0.5994967234623978
6076x,-0.30530130694639279
6076y,-0.5994967234623978
6077x,-0.30530130694639279
6077y,-0.5994967234623978
6078x,-0.3985821325702632
6078y,0.16557146256674588
6079x,0.017733565619257624
6079y,-0.29178809186018945
6080x,-0.3985821325702632
6080y,0.16557146256674588
6081x,-0.058819119748398263
6081y,-0.48984229230556731
6082x,-0.30530130694639279
6082y,-0.5994967234623978
6083x,-0.30530130694639279
6083y,-0.5994967234623978
6084x,-0.30530130694639279
6084y,-0.5994967234623978
6085x,-0.058819119748398263
6085y,-0.48984229230556731
6086x,0.017733565619257624
6086y,-0.29178809186018945
6087x,-0.3985821325702632
6087y,0.16557146256674588
6088x,0.017733565619257624
6088y,-0.29178809186018945
6089x,-0.19288692312604275
6089y,0.08945198127460835
6090x,-0.058819119748398263
6090y,-0.48984229230556731
6091x,-0.30530130694639279
6091y,-0.5994967234623978
6092x,-0.058819119748398263
6092y,-0.48984229230556731
6093x,-0.30530130694639279
6093y,-0.5994967234623978
6094x,-0.30530130694639279
6094y,-0.5994967234623978
6095x,-0.3985821325702632
6095y,0.16557146256674588
6096x,-0.30530130694639279
6096y,-0.5994967234623978
6097x,-0.040586169414456169
6097y,-0.081731920627446802
6098x,-0.058819119748398263
6098y,-0.48984229230556731
6099x,0.017733565619257624
6099y,-0.29178809186018945
6100x,-0.3985821325702632
6100y,0.16557146256674588
6101x,-0.058819119748398263
6101y,-0.48984229230556731
6102x,-0.058819119748398263
6102y,-0.48984229230556731
6103x,-0.3985821325702632
6103y,0.16557146256674588
6104x,-0.3985821325702632
6104y,0.16557146256674588
6105x,-0.30530130694639279
6105y,-0.5994967234623978
6106x,-0.040586169414456169
6106y,-0.081731920627446802
6107x,-0.3985821325702632
6107y,0.16557146256674588
6108x,-0.040586169414456169
6108y,-0.081731920627446802
6109x,0.017733565619257624
6109y,-0.29178809186018945
6110x,-0.30530130694639279
6110y,-0.5994967234623978
6111x,-0.30530130694639279
6111y,-0.5994967234623978
6112x,-0.040586169414456169
6112y,-0.081731920627446802
6113x,-0.19288692312604275
6113y,0.08945198127460835
6114x,-0.19288692312604275
6114y,0.08945198127460835
6115x,-0.30530130694639279
6115y,-0.5994967234623978
6116x,-0.30530130694639279
6116y,-0.5994967234623978
6117x,-0.30530130694639279
6117y,-0.5994967234623978
6118x,-0.058819119748398263
6118y,-0.48984229230556731
6119x,-0.19288692312604275
6119y,0.08945198127460835
6120x,0.017733565619257624
6120y,-0.29178809186018945
6121x,-0.040586169414456169
6121y,-0.081731920627446802
6122x,-0.30530130694639279
6122y,-0.5994967234623978
6123x,-0.058819119748398263
6123y,-0.48984229230556731
6124x,-0.19288692312604275
6124y,0.08945198127460835
6125x,-0.19288692312604275
6125y,0.08945198127460835
6126x,-0.040586169414456169
6126y,-0.081731920627446802
6127x,-0.3985821325702632
6127y,0.16557146256674588
6128x,-0.30530130694639279
6128y,-0.5994967234623978
6129x,-0.058819119748398263
6129y,-0.48984229230556731
6130x,-0.058819119748398263
6130y,-0.48984229230556731
6131x,-0.058819119748398263
6131y,-0.48984229230556731
6132x,-0.040586169414456169
6132y,-0.081731920627446802
6133x,-0.30530130694639279
6133y,-0.5994967234623978
6134x,-0.058819119748398263
6134y,-0.48984229230556731
6135x,0.017733565619257624
6135y,-0.29178809186018945
6136x,-0.058819119748398263
6136y,-0.48984229230556731
6137x,-0.058819119748398263
6137y,-0.48984229230556731
6138x,-0.19288692312604275
6138y,0.08945198127460835
6139x,-0.19288692312604275
6139y,0.08945198127460835
6140x,-0.30530130694639279
6140y,-0.5994967234623978
6141x,0.017733565619257624
6141y,-0.29178809186018945
6142x,-0.040586169414456169
6142y,-0.081731920627446802
6143x,-0.30530130694639279
6143y,-0.5994967234623978
6144x,-0.30530130694639279
6144y,-0.5994967234623978
6145x,-0.30530130694639279
6145y,-0.5994967234623978
6146x,-0.30530130694639279
6146y,-0.5994967234623978
6147x,0.017733565619257624
6147y,-0.29178809186018945
6148x,-0.058819119748398263
6148y,-0.48984229230556731
6149x,-0.30530130694639279
6149y,-0.5994967234623978
6150x,-0.30530130694639279
6150y,-0.5994967234623978
6151x,-0.058819119748398263
6151y,-0.48984229230556731
6152x,-0.19288692312604275
6152y,0.08945198127460835
6153x,-0.058819119748398263
6153y,-0.48984229230556731
6154x,-0.058819119748398263
6154y,-0.48984229230556731
6155x,-0.30530130694639279
6155y,-0.5994967234623978
6156x,0.017733565619257624
6156y,-0.29178809186018945
6157x,-0.30530130694639279
6157y,-0.5994967234623978
6158x,-0.30530130694639279
6158y,-0.5994967234623978
6159x,-0.3985821325702632
6159y,0.16557146256674588
6160x,-0.3985821325702632
6160y,0.16557146256674588
6161x,-0.3985821325702632
6161y,0.16557146256674588
6162x,-0.3985821325702632
6162y,0.16557146256674588
6163x,-0.3985821325702632
6163y,0.16557146256674588
6164x,-0.30530130694639279
6164y,-0.5994967234623978
6165x,-0.19288692312604275
6165y,0.08945198127460835
6166x,-0.30530130694639279
6166y,-0.5994967234623978
6167x,-0.3985821325702632
6167y,0.16557146256674588
6168x,-0.058819119748398263
6168y,-0.48984229230556731
6169x,-0.30530130694639279
6169y,-0.5994967234623978
6170x,-0.3985821325702632
6170y,0.16557146256674588
6171x,-0.3985821325702632
6171y,0.16557146256674588
6172x,-0.058819119748398263
6172y,-0.48984229230556731
6173x,-0.30530130694639279
6173y,-0.5994967234623978
6174x,-0.19288692312604275
6174y,0.08945198127460835
6175x,-0.3985821325702632
6175y,0.16557146256674588
6176x,-0.30530130694639279
6176y,-0.5994967234623978
6177x,-0.30530130694639279
6177y,-0.5994967234623978
6178x,-0.19288692312604275
6178y,0.08945198127460835
6179x,-0.30530130694639279
6179y,-0.5994967234623978
6180x,-0.19288692312604275
6180y,0.08945198127460835
6181x,-0.040586169414456169
6181y,-0.081731920627446802
6182x,-0.3985821325702632
6182y,0.16557146256674588
6183x,-0.30530130694639279
6183y,-0.5994967234623978
6184x,-0.3985821325702632
